date,year,title,simple_title,artist,main_artist,peak_pos,last_pos,weeks,rank,change,spotify_link,spotify_id,video_link,genre,broad_genre,analysis_url,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode
6/21/18,NA,I Lived It,,Blake Shelton,,64,76,15,76,0,spotify:track:5slddJ629YcePvqD6Uyk8r,5slddJ629YcePvqD6Uyk8r,,"[u'contemporary country', u'country', u'country road', u'modern country rock']",,https://api.spotify.com/v1/audio-analysis/5slddJ629YcePvqD6Uyk8r,0.571,0.101,80.981,0.0281,0.476,0.00114,4,0.557,10,219600,-8.106,0.392,1
6/21/18,NA,I Was Jack (You Were Diane),,Jake Owen,,86,86,3,86,0,spotify:track:0L1ZDS8joLUUwUeqWZsEg6,0L1ZDS8joLUUwUeqWZsEg6,,"[u'contemporary country', u'country', u'country road', u'modern country rock']",,https://api.spotify.com/v1/audio-analysis/0L1ZDS8joLUUwUeqWZsEg6,0.878,0.0505,94.014,0.0452,0.0875,0,4,0.612,6,188013,-3.556,0.599,1
6/21/18,NA,I'm Upset,,Drake,,19,32,3,28,4,spotify:track:54oMZ3blwWwuPN4wEoG5mk,54oMZ3blwWwuPN4wEoG5mk,,"[u'canadian hip hop', u'canadian pop', u'hip hop', u'pop rap', u'rap']",,https://api.spotify.com/v1/audio-analysis/54oMZ3blwWwuPN4wEoG5mk,0.592,0.0831,149.953,0.333,0.263,0,4,0.899,11,214139,-7.901,0.504,0
6/21/18,NA,IDGAF,,Dua Lipa,,49,54,22,51,3,spotify:track:76cy1WJvNGJTj78UqeA5zr,76cy1WJvNGJTj78UqeA5zr,,[u'pop'],,https://api.spotify.com/v1/audio-analysis/76cy1WJvNGJTj78UqeA5zr,0.544,0.0824,97.028,0.0943,0.0403,0,4,0.836,7,217947,-5.975,0.51,1
6/21/18,NA,In My Blood,,Shawn Mendes,,11,20,13,16,4,spotify:track:21YnmkSDhUkmkkni22Svc4,21YnmkSDhUkmkkni22Svc4,,"[u'canadian pop', u'pop', u'viral pop']",,https://api.spotify.com/v1/audio-analysis/21YnmkSDhUkmkkni22Svc4,0.711,0.125,139.967,0.0706,0.0544,0,4,0.618,5,211360,-7.248,0.488,1
6/21/18,NA,Japan,,Famous Dex,,28,68,12,72,-4,spotify:track:5PTG6rrL6EPFD9E2QMI2pl,5PTG6rrL6EPFD9E2QMI2pl,,"[u'drill', u'pop', u'pop rap', u'rap', u'southern hip hop', u'trap music', u'underground hip hop']",,https://api.spotify.com/v1/audio-analysis/5PTG6rrL6EPFD9E2QMI2pl,0.678,0.344,175.985,0.438,0.121,0,4,0.733,6,142000,-7.771,0.841,1
6/21/18,NA,KIDS SEE GHOSTS,,KIDS SEE GHOSTS,,73,0,1,73,New,spotify:track:4RVbK6cV0VqWdpCDcx3hiT,4RVbK6cV0VqWdpCDcx3hiT,,"[u'hip hop', u'pop', u'pop rap', u'rap']",,https://api.spotify.com/v1/audio-analysis/4RVbK6cV0VqWdpCDcx3hiT,0.597,0.195,100.051,0.037,0.339,0.0404,4,0.585,0,324674,-7.499,0.227,1
6/21/18,NA,KOD,,J. Cole,,10,60,8,65,-5,spotify:track:7yotKA30dwTKNEGomV9ZsI,7yotKA30dwTKNEGomV9ZsI,,"[u'conscious hip hop', u'pop', u'pop rap', u'rap']",,https://api.spotify.com/v1/audio-analysis/7yotKA30dwTKNEGomV9ZsI,0.782,0.113,141.869,0.15,0.21,0,4,0.831,0,191437,-6.274,0.199,1
6/21/18,NA,Life Goes On,,Lil Baby Featuring Gunna & Lil Uzi Vert,,74,92,4,89,3,,,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
6/21/18,NA,Look Alive,,BlocBoy JB Featuring Drake,,5,19,18,18,1,,,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
6/21/18,NA,Lose It,,Kane Brown,,84,0,1,84,New,spotify:track:6GBndDk0OEpDkmKoSBJyyK,6GBndDk0OEpDkmKoSBJyyK,,"[u'contemporary country', u'country road']",,https://api.spotify.com/v1/audio-analysis/6GBndDk0OEpDkmKoSBJyyK,0.869,0.29,91.988,0.0289,0.00261,1.77E-06,4,0.549,4,178733,-4.905,0.433,0
6/21/18,NA,Love Lies,,Khalid & Normani,,34,42,17,34,8,spotify:track:5rjIw1mQUKwhcxzM4ciWez,5rjIw1mQUKwhcxzM4ciWez,,unknown,,https://api.spotify.com/v1/audio-analysis/5rjIw1mQUKwhcxzM4ciWez,0.592,0.111,143.954,0.0615,0.519,0,4,0.731,6,198342,-8.588,0.427,1
6/21/18,NA,Lovely,,Billie Eilish & Khalid,,78,79,3,78,1,spotify:track:2QGDYdgYv03I1oLav9OHHs,2QGDYdgYv03I1oLav9OHHs,,unknown,,https://api.spotify.com/v1/audio-analysis/2QGDYdgYv03I1oLav9OHHs,0.144,0.128,114.006,0.0438,0.985,0.923,4,0.624,4,207554,-14.087,0.13,0
6/21/18,NA,Lucid Dreams,,Juice WRLD,,6,9,5,6,3,spotify:track:0s3nnoMeVWz3989MkNQiRf,0s3nnoMeVWz3989MkNQiRf,,[u'rap'],,https://api.spotify.com/v1/audio-analysis/0s3nnoMeVWz3989MkNQiRf,0.566,0.34,83.903,0.2,0.349,0,4,0.511,6,239836,-7.23,0.218,0
6/21/18,NA,Me Niego,,Reik Featuring Ozuna & Wisin,,77,0,2,83,Re-Entry,,,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
6/21/18,NA,Meant To Be,,Bebe Rexha & Florida Georgia Line,,2,12,34,10,2,spotify:track:3lFf4DnT68QjQGB3iq1BJ9,3lFf4DnT68QjQGB3iq1BJ9,,unknown,,https://api.spotify.com/v1/audio-analysis/3lFf4DnT68QjQGB3iq1BJ9,0.668,0.219,153.953,0.0851,0.161,0,4,0.671,10,163553,-7.086,0.487,1
